[SIM] Loaded 10218 bytes from software/borg/vkcube.bin
[SIM] Starting simulation...
SPI_READ: mosi=0 miso=0 clk=1
SPI_READ: mosi=0 miso=0 clk=1
SPI_READ: mosi=0 miso=0 clk=1
SPI_READ: mosi=0 miso=0 clk=1
SPI_READ: mosi=0 miso=0 clk=1
SPI_READ: mosi=0 miso=0 clk=1
SPI_READ: mosi=0 miso=0 clk=1
SPI_READ: mosi=0 miso=0 clk=1
SPI_READ: mosi=0 miso=0 clk=1
SPI_READ: mosi=0 miso=0 clk=1
SPI_READ: mosi=0 miso=0 clk=1
SPI_READ: mosi=0 miso=6 clk=1
SPI_READ: mosi=0 miso=6 clk=1
SPI_READ: mosi=0 miso=15 clk=1
SPI_READ: mosi=0 miso=0 clk=1
SPI_READ: mosi=0 miso=0 clk=1
SPI_READ: mosi=0 miso=10 clk=1
SPI_READ: mosi=0 miso=0 clk=1
SPI_READ: mosi=0 miso=0 clk=1
SPI_READ: mosi=0 miso=2 clk=1
SPI_READ: mosi=0 miso=6 clk=1
SPI_READ: mosi=0 miso=15 clk=1
SPI_READ: mosi=0 miso=0 clk=1
SPI_READ: mosi=0 miso=0 clk=1
SPI_READ: mosi=0 miso=0 clk=1
SPI_READ: mosi=0 miso=0 clk=1
SPI_READ: mosi=0 miso=0 clk=1
SPI_READ: mosi=0 miso=0 clk=1
SPI_READ: mosi=0 miso=0 clk=1
SPI_READ: mosi=0 miso=0 clk=1
SPI_READ: mosi=0 miso=0 clk=1
SPI_READ: mosi=0 miso=0 clk=1
SPI_READ: mosi=0 miso=0 clk=1
SPI_READ: mosi=0 miso=0 clk=1
SPI_READ: mosi=0 miso=0 clk=1
SPI_READ: mosi=0 miso=6 clk=1
SPI_READ: mosi=0 miso=6 clk=1
SPI_READ: mosi=0 miso=15 clk=1
SPI_READ: mosi=0 miso=0 clk=1
SPI_READ: mosi=0 miso=0 clk=1
SPI_READ: mosi=0 miso=10 clk=1
SPI_READ: mosi=0 miso=0 clk=1
SPI_READ: mosi=0 miso=0 clk=1
SPI_READ: mosi=0 miso=2 clk=1
SPI_READ: mosi=0 miso=6 clk=1
SPI_READ: mosi=0 miso=15 clk=1
SPI_READ: mosi=0 miso=0 clk=1
SPI_READ: mosi=0 miso=0 clk=1
SPI_READ: mosi=0 miso=0 clk=1
SPI_READ: mosi=0 miso=0 clk=1
SPI_READ: mosi=0 miso=0 clk=1
SPI_READ: mosi=0 miso=0 clk=1
SPI_READ: mosi=0 miso=0 clk=1
SPI_READ: mosi=0 miso=0 clk=1
SPI_READ: mosi=0 miso=0 clk=1
SPI_READ: mosi=0 miso=0 clk=1
SPI_READ: mosi=0 miso=0 clk=1
SPI_READ: mosi=0 miso=0 clk=1
SPI_READ: mosi=0 miso=6 clk=1
SPI_READ: mosi=0 miso=6 clk=1
SPI_READ: mosi=0 miso=15 clk=1
SPI_READ: mosi=0 miso=0 clk=1
SPI_READ: mosi=0 miso=0 clk=1
SPI_READ: mosi=0 miso=10 clk=1
